1+ M,personal reference:  speaker + mixed 3rd party
1+2m,personal reference:  speaker + monadic listener
1+2m+M,personal reference:  speaker + monadic  listener + mixed 3rd party
1+2m+ma,personal reference:  speaker + monadic listener + monadic animate 3rd party
1+2m+mi,personal reference:  speaker + monadic listener + monadic inanimate 3rd party
1+2m+ua,personal reference:  speaker + monadic listener + unbounded animate 3rd party
1+2m+ui,personal reference:  speaker + monadic listener + unbounded inanimate 3rd party
1+2u,personal reference:  speaker + unbounded listener
1+2u+M,personal reference:  speaker + unbounded listener + mixed 3rd party
1+2u+ma,personal reference:  speaker + unbounded listener + monadic animate 3rd party
1+2u+mi,personal reference:  speaker + unbounded listener + monadic inanimate 3rd party
1+2u+ua,personal reference:  speaker + unbounded listener + unbounded animate 3rd party
1+2u+ui,personal reference:  speaker + unbounded listener + unbounded inanimate 3rd party
1+ma,personal reference:  speaker + monadic animate 3rd party
1+mi,personal reference:  speaker + monadic inanimate 3rd party
1+ua,personal reference:  speaker + unbounded animate 3rd party
1+ui,personal reference:  speaker + unbounded inanimate 3rd party
2m,personal reference:  monadic listener
2m+M,personal reference:  monadic listener + mixed 3rd party
2m+ma,personal reference:  monadic listener + monadic animate 3rd party
2m+mi,personal reference:  monadic listener + monadic inanimate 3rd party
2m+ua,personal reference:  monadic listener + unbounded animate 3rd party
2m+ui,personal reference:  monadic listener + unbounded inanimate 3rd party
2u,personal reference:  unbounded listener
2u+M,personal reference:  unbounded listener + mixed 3rd party
2u+ma,personal reference:  unbounded listener + monadic animate 3rd party
2u+mi,personal reference:  unbounded listener + monadic inanimate 3rd party
2u+ua,personal reference:  unbounded listener + unbounded animate 3rd party
2u+ui,personal reference:  unbounded listener + unbounded inanimate 3rd party
A,Abstract perspective
ABE,Abessive case
ABL,Ablative case
ABS,Absolutive case
Abt,personal reference:  Abstract referent
ACC,Accordative modality
ACP,Acceptive bias
ACQ,Suffix: Acquisition 
ACS,Accessive case
ACT,Activative case
ADM,Admonitive illocution
ADV,Advocative modality
AFF,Affective case
AFM,Affirmative validation
AFI,Affinitive format
AFT,Suffix:  Degree of Affect
AGC,Suffix:  Degree of Agency
AGG,Aggregative configuration
AGN,"Suffix:  Degree of Agency, Intent or Effectiveness"
ALG,Allegative sanction
ALL,Allative case
ALP,Allapsive case
AMG,Amalgamative context
ANT,Anticipative modality
APL,Applicative case
APR,Suffix:  Degree of Contextual Appropriateness
APT,Suffix:  Various Aspects
ASC,Ascriptive mood
ASI,Assimilative case
ASM,Assumptive mood
ASO,Associative affiliation
ASP,Aspirative modality
ASR,Assertive illocution
ASS,Assessive case
ASU,Assurative bias
ATC,Suffix:  Degree Of Anticipation
ATH,Authoritative format
ATN,Suffix:  Degree of Attention or Determination
ATT,Attributive case
AUT,Suffix: Authorization
AVR,Aversive case
AXM,Axiomatic sanction
BEH,Suffix: Degree of Subjective Effect or Behavioral Appropriateness
BEN,Benefactive case
BOD,Suffix:  Bodily Instrumentality = ‘by means of’
CAL,"Suffix: Calendrical Sequencing - days, months, years, decades, centuries, millenia"
CAP,Suffix:  Degree of Potential or Capability
CCL,Conclusive aspect
CCM,Concommitant format
CFD,"Suffix:  Degree of Forthrightness, Confidence or Humility"
CGL,Suffix:  Motive/Reason for Conglomeration/Coming Together of Gestalt Entity
CLA,Classificative case
CLM,Climactic aspect
CLS,Compulsory modality
CML,Compulsive modality
CMM,Commutative case
CMP,Comparative case
CMP1A,Comparative 1A case
CMP1B,Comparative 1B case
CMP1C,Comparative 1C case
CMP2A,Comparative 2A case
CMP2B,Comparative 2B case
CMP2C,Comparative 2C case
CMP3A,Comparative 3A case
CMP3B,Comparative 3B case
CMP3C,Comparative 3C case
CMP4A,Comparative 4A case
CMP4B,Comparative 4B case
CMP4C,Comparative 4C case
CMP5A,Comparative 5A case
CMP5B,Comparative 5B case
CMP5C,Comparative 5C case
CMP6A,Comparative 6A case
CMP6B,Comparative 6B case
CMP6C,Comparative 6C case
CMP7A,Comparative 7A case
CMP7B,Comparative 7B case
CMP7C,Comparative 7C case
CMP8A,Comparative 8A case
CMP8B,Comparative 8B case
CMP8C,Comparative 8C case
CNC,Suffix:  Degree of Concern or Consideration
CNF,Confirmative validation
CNG,Contingent valence
CNJ,Conjunctive case
CNM,Suffix:  Type of Container/Packaging/Conveyance/Holder
CNQ,"Suffix:  Degree of Consequentiality, Finality or Irrevocability"
CNR,Concursive case
CNS,Suffix:  Degree of Consent
CNT,Continuative aspect
CNV,Conductive case
COA,Coalescent affiliation
COH,Coherent configuration
COI,Coincidental bias
Col,personal reference:  collective entity
COM,Comitative case
CON,Concessive case
COO,Suffix:  Adjunctive Coordination
COR,Correlative case
COS,Suffix:  Comparison Specifications (Used with Levels ) - see Section 6.2 and Section 6.2.5
COU,Counterfactive mood
CPC,Capacitative modality
CPL,Complementary valence
CPN,Componential configuration
CPS,Compositive case
CPT,Completive version
CRD,Credential modality
CRI,"Suffix:  Cycle or circular motion in place (spin, revolve)"
CRO,Corollary valence
CRR,Corrective bias
CRS,Contrastive case
CRV,"Suffix:  Cycle or circular motion over linear vector (e.g., train wheels, bike wheels)"
CSD,Considerative case
CSL,Consolidative affiliation
CSM,Consumptive aspect
CSQ,Consequential aspect
CSS,Cessative aspect
CST,Composite configuration
CTC,Suffix:  Degree of Contact
CTN,Suffix:  Degree of Contrariness to Expectation(s) or Shift in Subject
CTP,Contemptive bias
CTR,Suffix:  Contrastive Coordination
CTV,Contemplative bias
CTX,Contextual phase
CUL,Culminative aspect
CVS,Conversive case
CVT,Suffix:  Degree of Covertness versus Overtness
CVY,Suffix: Means of Transportation/Conveyance
CYN,Cynical bias
DAT,Dative case
DBI,Suffix:  Additional Bodily Instrumentality = ‘by means of’
DCI,Suffix:  Decrease then Increase
DCL,Disclusive aspect
DCR,Suffix:  Decrease
DCS,"Suffix:  Degree of Decisiveness, Commitment or Emphasis"
DCT,Discrete configuration
DCV,Decisive modality
DEC,Declarative illocution
DEF,Suffix:  Degree Of Definiteness
DEL,Delimitive extension
DEM,Demonstrative valence
DEP,Dependent case
DER,Derivative case
DES,Desiderative modality
DEV,Suffix:  Degree of Development
DEX,Suffix:  Deixis Categories
DFC,Deficient level
DFF,Diffusive case
DGR,Suffix:  Exactness of Degree
DIR,Directive illocution
DLB,Suffix:  Degree of Deliberateness/Agency
DPL,Depletive extension
DPR,Suffix:  Dispersion or Separability of a Configurative Set
DPT,Suffix: Depiction/Representation/Record
DPV,Desperative bias
DPX,Duplex configuration
DRC,Suffix:  Degree of Directness
DSC,Descriptive function
DSG,Suffix:  Degree of Design or Purposefulness
DSM,Dismissive bias
DSP,Dispositive modality
DSR,Suffix:  Degree Of Discretion
DST,Suffix:  Distributive Coordination
DUB,Dubitative validation
DUP,Duplicative valence
DVR,Divertive modality
DVT,Devotive modality
DXX,Suffix:  Additional Deixis Categories
DYN,Dynamic function
Ea,personal reference:  universal animate
EFC,Effective version
EFF,Effectuative Case
EFI,Suffix:  Degree of Efficiency or Efficacy
EFT,Suffix:  Degree of Effort
Ei,personal reference:  universal inanimate
ELP,Elapsive case
ENG,Suffix:  Degree of Engagement/Involvement
ENB,Suffix:  Degree of Enablement
EPD,Expeditive aspect
EPI,Epistemic sanction
EPS,Episodic case
EQU,Equative level
ERG,Ergative case
ERR,Suffix:  Degree of Correctness versus Error
ESS,Essive case
EUP,Euphemistic bias
EXA,Exasperative bias
EXC,Exceptive case
EXD,Suffix:  Dynamically Changing Degree or Extent
EXH,Exhortative modality
EXN,Suffix:  Degree or Extent
EXP,Experiential aspect
EXS,Existential context
EXT,Suffix:  Exactness of Identity / Identity As a Referent Or Standard
EXV,Expatiative sanction
EPC,Expectative modality
FAC,Factual mood
FAM,Suffix:  Degree Of Familiarity
FEA,Suffix: Featural Properties 
FLC,Fluctuative phase
FLS,Suffix:  Degree of Fluctuation/Stability
FML,Formal designation
FMS,Suffix: Material States/Forms (non-solid or quasi-solid) 
FNC,Functional context
FNS,Suffix:  Material States/Forms (solids) 
FRAMED,Framed relation
FRC,Suffix:  Degree of Physical Force Exerted
FRE,Frequentative phase
FRG,Fragmentative phase
FRM,Suffix:  Degree of Formality
FRQ,Suffix:  Degree Of Frequency
FUN,Functive case
GEN,Genitive case
GRA,Graduative extension
GRT,Gratificative bias
HAB,Habitual aspect
HOR,Hortative illocution
HPB,Hyperbolic bias
HRC,"Suffix:  Position on Social, Occupational, or (Para-) Military Hierarchy"
HYP,Hypothetical mood
ICD,Suffix:  Increase then Decrease
ICL,Inclinative modality
ICP,Incipient extension
ICR,Suffix:  Increase
ICS,Incessative aspect
IDa,personal reference:  indefinite animate
IDC,Indicative valence
IDG,Indignative bias
IDi,personal reference:  indefinite inanimate
IDP,Interdependent case
IDR,Suffix:  Random/Varying Increases and Decreases
IFL,Informal designation
IFR,Inferior level
IMD,Intermediative aspect
IMM,Imminent aspect
IMP,Suffix:  Degree of Impact on Patient/Target or Enablement of Outcome
IMS,Impositive modality
IMT,Imitative valence
INB,Suffix: Inability/Incapacity Due To 
INC,Incompletive version
IND,Inducive case
INE,Ineffectual version
INF,Inferential validation
INL,Suffix:  Degree Of Inclusion
INP,Interpolative case
INS,Instrumental case
